STO DATABASE;BRANCH DATABASE;REGION SAP;AREA DATABASE;INCIDENT;TTR CUSTOMER;SUMMARY;REPORTED DATE;OWNER GROUP;OWNER;CUSTOMER SEGMENT;SERVICE TYPE;WITEL;WORKZONE;STATUS;STATUS DATE;TICKET ID GAMAS;REPORTED BY;CONTACT PHONE;CONTACT NAME;CONTACT EMAIL;BOOKING DATE;DESCRIPTION ASSIGMENT;REPORTED PRIORITY;SOURCE TICKET;SUBSIDIARY;EXTERNAL TICKET ID;CHANNEL;CUSTOMER TYPE;CLOSED BY;CLOSED / REOPEN by;CUSTOMER ID;CUSTOMER NAME;SERVICE ID;SERVICE NO;SLG;TECHNOLOGY;LAPUL;GAUL;ONU RX;PENDING REASON;DATEMODIFIED;INCIDENT DOMAIN;REGION;SYMPTOM;HIERARCHY PATH;SOLUTION;DESCRIPTION ACTUAL SOLUTION;KODE PRODUK;PERANGKAT;TECHNICIAN;DEVICE NAME;WORKLOG SUMMARY;LAST UPDATE WORKLOG;CLASSIFICATION FLAG;REALM;RELATED TO GAMAS;TSC RESULT;SCC RESULT;TTR AGENT;TTR MITRA;TTR NASIONAL;TTR PENDING;TTR REGION;TTR WITEL;TTR END TO END;NOTE;GUARANTE STATUS;RESOLVE DATE;SN ONT;TIPE ONT;MANUFACTURE ONT;IMPACTED SITE;CAUSE;RESOLUTION;NOTES ESKALASI;RK INFORMATION;EXTERNAL TICKET TIER 3;CUSTOMER CATEGORY;CLASSIFICATION PATH;TERITORY NEAR END;TERITORY FAR END;URGENCY;URGENCY DESCRIPTION
TSS;BENGKULU;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
BKO;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
JMB;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
JMI;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
KOA;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[GRT191];;;;;;;;;;;
KTL;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAB;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
MBN;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
MND;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GRT191;;;;;;;;;;;
MRO;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
MSK;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MUR;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
PAP;JAMBI;SUMBAGSEL;AREA 1;INC47696158;01.50.05;TSEL_METRO_PTK360_MULTIRESIDENCE_TBG_GPON00-D6-SAO-2_LOW_DOWN_REGTSEL8;31/03/26 17.43;TIF ASR NON FBB DISTRICT PONTIANAK;;DWS;SITE;KALBAR;PTK;BACKEND;31/03/26 17.52;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002844;56;;;;C3700008;TELEKOMUNIKASI SELULAR;PTK360;PTK360;;;;0;;;31/03/26 19.33;;REG-6;| TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16041371;;INC47696158 | [Normal] Multiple Site Down@TO PONTIANAKImpact: 1 Site(s) / 5 NE-BAND(s) (5);2026-03-31 17:49:06.592;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.02.09;00.00.00;00.00.00;00.00.00;01.50.05;;;;;;;Severity :;;;;;;;C_CONN_TSEL_001_001_001;;;2;Normal
PKB;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LOW;;;;;;;;;;;
RBB;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jumlah Site:1;;;;;;;;;;;
SPN;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
SRJ;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
TTJ;JAMBI;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
BDA;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
BDU;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[PTK360];;;;;;;;;;;
BKM;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GDT;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
KBI;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
KDT;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PTK360;;;;;;;;;;;
KLA;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
KLR;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOT;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
KRU;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAM;LAMPUNG;SUMBAGSEL;AREA 1;INC47696143;01.39.36;[TIF] TOPOLO_LJN_METRO_LADANG PANJANG KAB. PASAMAN_SUMBAR_DOWN [2095247386] [C_CONN][DWS];31/03/26 17.42;TIF ASR NON FBB DISTRICT BUKITTINGGI;;DWS;METRO-E;SUMBAR;KNL;BACKEND;31/03/26 17.43;;MYCAREER;48263;NOC;;;Assigned By STO;;CUSTOMER;;REFID-1774953719693;27;;;;3000004093;TELKOM INFRASTRUKTUR INDONESIA;2095247386;2095247386;;;;1;;;31/03/26 19.21;;REG-1;null | TECHNICAL | Mati Total Fisik;;Perbaikan FO Akses Cut;;;;15888071;;GPON00-D1-KNL-2PDS#losi;2026-03-31 17:43:04.441;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.01.40;00.00.00;00.00.00;00.00.00;01.39.36;;;;;;;;;;;;;;C_CONN_001_001_001;;;1;Super Emergency - C4
LIW;LAMPUNG;SUMBAGSEL;AREA 1;INC47696251;01.52.11;TSEL_METRO_2NODEB_UNDER_L2SW_SDW037_MAJOR_DOWN_REGTSEL8;31/03/26 17.41;TIF ASR NON FBB DISTRICT BALIKPAPAN;;DWS;SITE;BALIKPAPAN;PNJ;BACKEND;31/03/26 17.46;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002853;56;;;;C3700008;TELEKOMUNIKASI SELULAR;SDW037;SDW037;;;;9;;;31/03/26 19.33;;REG-6;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;26070013;;INC47696251 | [Hard] Multiple Site Down@TO KUTAIImpact: 2 Site(s) / 10 NE-BAND(s) (12);2026-03-31 17:43:26.76;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.01.23;00.00.00;00.00.00;00.00.00;01.52.11;;;;;;;Jumlah Site:2;;;;;;;C_CONN_TSEL_001_001_001;;;4;Hard
LKP;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:2NE;;;;;;;;;;;
MET;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:2NE;;;;;;;;;;;
MGA;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:2NE;;;;;;;;;;;
NTR;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
PJN;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[SDW037,SDW043];;;;;;;;;;;
PRW;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SKD;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SDW037 MUARAPAHU Metro-E;;;;;;;;;;;
SPS;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SDW043 TANAHMEA Metro-E;;;;;;;;;;;
SRW;LAMPUNG;SUMBAGSEL;AREA 1;INC47696068;01.55.08;TSEL_RADIOIP_TRG632_BAYAN_UNDER_L2SW_SDW037_REFER_INC47696251_LOW_DOWN_REGTSEL8;31/03/26 17.38;TIF ASR NON FBB DISTRICT BALIKPAPAN;;DWS;SITE;BALIKPAPAN;PNJ;BACKEND;31/03/26 17.51;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002787;56;;;;C3700008;TELEKOMUNIKASI SELULAR;TRG632;TRG632;;;;24;;;31/03/26 19.33;;REG-6;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16050395;;INC47696068 | [Emergency] Multiple Site Down@TO KUTAIImpact: 2 Site(s) / 7 NE-BAND(s) (12);2026-03-31 17:46:42.565;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.04.12;00.00.00;00.00.00;00.00.00;01.55.08;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;5;Emergency
TGP;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
TJK;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
TKB;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
WJA;LAMPUNG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
BET;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[TRG632];;;;;;;;;;;
BKS;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLT;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRG632 B2B T3 BAYAN FSP-KM25 Radio IP;;;;;;;;;;;
BTA;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COH025 - -;;;;;;;;;;;
IDL;PALEMBANG;SUMBAGSEL;AREA 1;INC47695997;01.58.07;TSEL_METRO_PAY250_REPEATER_PANGKALAN_GPON00-D1-HRU-2_MINOR_DOWN_REGTSEL10;31/03/26 17.35;TIF ASR NON FBB DISTRICT BUKITTINGGI;;DWS;SITE;SUMBAR;HRU;BACKEND;31/03/26 17.45;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;Assigned By STO;;CUSTOMER;;IM-20260331-00002767;56;;;;C3700008;TELEKOMUNIKASI SELULAR;PAY514;PAY514;;;;0;;;31/03/26 19.33;;REG-1;null | TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;16041313;;dn;2026-03-31 17:42:57.891;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.01.33;00.00.00;00.00.00;00.00.00;01.58.07;;;;;;;Jumlah Site:2;;;;;;;C_CONN_TSEL_001_001_001;;;3;Medium
KAG;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:2NE;;;;;;;;;;;
KTU;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:2NE;;;;;;;;;;;
MEM;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:2NE;;;;;;;;;;;
MPA;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
MUB;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[PAY250,PAY514];;;;;;;;;;;
MUD;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OKI;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
PBI;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 2;;;;;;;;;;;
PBM;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAY250 BILLING Metro-E;;;;;;;;;;;
PDT;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAY514 BILLING Radio IP;;;;;;;;;;;
PGC;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLJ;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
SBU;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGB;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
SKY;PALEMBANG;SUMBAGSEL;AREA 1;INC47695804;01.58.17;TSEL_METRO_BDB282_KPCIWANGUNDMT_GPON01-D3-CSA-2_LOW_DOWN_REGTSEL4;31/03/26 17.34;TIF ASR NON FBB DISTRICT BANDUNG;20960854;DWS;SITE;BANDUNGBRT;CSA;BACKEND;31/03/26 17.42;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;;;CUSTOMER;;IM-20260331-00002570;56;;;;C3700008;TELEKOMUNIKASI SELULAR;COD107;COD107;;;;0;;;31/03/26 19.33;;REG-3;| TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;18910274;;dn;2026-03-31 17:40:34.133;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.00.36;00.00.00;00.00.00;00.00.00;01.58.17;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;2;Normal
SRO;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
TAB;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
TAM;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
TLK;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
TRA;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[BDB282];;;;;;;;;;;
UNT;PALEMBANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BYU;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
JBS;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
KBO;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BDB282;;;;;;;;;;;
MGR;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
MTK;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGP;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 1;;;;;;;;;;;
SLT;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COD107;;;;;;;;;;;
TBI;PANGKAL PINANG;SUMBAGSEL;AREA 1;INC47695958;02.00.26;TSEL_METRO_BDK537_RANCAKASUMBATBG_GPON12-D3-UBR-4_LOW_DOWN_REGTSEL4;31/03/26 17.32;TIF ASR NON FBB DISTRICT BANDUNG;20960854;DWS;SITE;BANDUNG;UBR;BACKEND;31/03/26 17.43;;INAP_TSEL;62811100007;Shift Manger;Shift_Manger@mail.com;;;;CUSTOMER;;IM-20260331-00002762;56;;;;C3700008;TELEKOMUNIKASI SELULAR;BDK537;BDK537;;;;1;;;31/03/26 19.33;;REG-3;| TECHNICAL | Mati Total Fisik;;Fo Akses Cut;;;;79150979;;Di ODP level aman. Tim menunggu akses site;2026-03-31 19:35:40.714;TECHNICAL;;NO;N/A | N/A;;00.00.00;00.00.00;00.00.33;00.00.00;00.00.00;00.00.00;02.00.26;;;;;;;Jumlah Site:1;;;;;;;C_CONN_TSEL_001_001_001;;;5;Emergency
TJN;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2G:1NE;;;;;;;;;;;
TPL;PANGKAL PINANG;SUMBAGSEL;AREA 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3G:1NE;;;;;;;;;;;
BAY;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4G:1NE;;;;;;;;;;;
BJO;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Detail Site:;;;;;;;;;;;
BJT;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[BDK573];;;;;;;;;;;
BLJ;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRS;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KET :;;;;;;;;;;;
CKA;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site Berbilling : 1;;;;;;;;;;;
CKD;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BDK573;;;;;;;;;;;
CLG;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Site OA Non Billing : 0;;;;;;;;;;;
CRS;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CSK;SERANG;WESTERN JABOTABEK;AREA 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non Berbilling : 0;;;;;;;;;;;
